名称,纬度,经度,高度,时长,备注
Wellington AP,-41.32681,174.80666,0.008,10,1
悉尼歌剧院,-33.85698056,151.2150278,0.015,10,2
Pratas Island,20.70416667,116.7205556,0,10,3
Kangshan AB,22.78166667,120.2619444,0.009,10,4
Dongshi,23.26666667,119.6666667,-0.001,10,5
Makung Airport,23.5675,119.6288889,0.029,10,6
Huwei,23.71027778,120.4280556,0.03,10,7
花莲机场,24.02305556,121.6177778,0.012,10,8
Taitung,24.18444444,120.6538889,0.11,10,9
金门,24.42777778,118.3586111,0.011,10,10
Navyairport,24.57769444,-81.69839444,0,10,11
依兰,24.75,121.7666667,0.011,10,12
Hsinchu AB,24.81805556,120.9391667,0.008,10,13
Bakuai,24.93305556,121.3,0.147,10,14
台北松山机场,25.06944444,121.5525,0.001,10,15
Palm Islands,25.11618611,55.1343,0.001,10,16
Matsu Peigan Airport,26.22527778,120,0.013,10,18
珠穆朗玛峰,27.97811111,86.92175278,8.592,10,19
卡纳维拉尔角,28.58648611,-80.65185556,0,10,20
PotalaPalace,29.657917,91.117167,3.708,10,21
埃及金字塔,29.97589444,31.13035833,0.09,10,22
三峡,30.84583333,111.0241667,0.17,10,23
莫斯科红场,55.75359167,37.62053889,0.153,10,24
非洲之眼,21.12263611,-11.39858889,0.429,10,25
珍珠港,21.36216,-157.95343,0.007,10,26
墨西哥机场,19.43374,-99.07095,2.239,10,27
科威特机场,29.23991,47.97091,0.052,10,28
阿斯旺大坝,23.97111,32.87718,0.137,10,29
法兰克福机场,50.03936,8.55481,0.115,10,30
香港机场,22.30805,113.91847,0.004,10,31
自由女神像,40.6893,-74.04455,0.002,10,32
埃菲尔铁塔,48.85820556,2.294497222,0.034,10,33
珍珠港,21.362,-157.9535,0.008,10,34
法拉利主题公园,24.48367,54.60705,0.001,10,35
哈利法塔,25.197,55.274,0.004,10,36
迪拜国际机场,25.2541969,55.3657965,0.004,10,37
阿布扎比国际机场,24.4465,54.648,0.001,10,38
